Group,Code,en
Admin Xlations,Admin.Cust_Details.NON_WTD,non-withdrawable
Admin Xlations,Admin.Cust_Details.NOTIFYABLE,notifyable
Admin Xlations,Admin.Cust_Details.NUM_LINKED_ACCT,links %s account
Admin Xlations,Admin.Cust_Details.NUM_LINKED_ACCTS,links %s accounts
Admin Xlations,Admin.Cust_Details.NR_BETS,Number of bets
Admin Xlations,Admin.Cust_Details.POOLS_STKE_TOTAL_STLD ,Total Pools Staked (settled)
Admin Xlations,Admin.Cust_Details.POOLS_BET_SUMM,Pools Bet summary
Admin Xlations,Admin.Cust_Details.REG_CHANNEL,Registration Channel
Admin Xlations,Admin.Cust_Details.REG_DATE,Registered at
Admin Xlations,Admin.Cust_Details.REG_INFO,Registration Information
Admin Xlations,Admin.Cust_Details.SELF_EXCLUSION,Customer Self Exclusion
Admin Xlations,Admin.Cust_Details.SELF_EXCL_ENDS,Self-Exclusion Ends
Admin Xlations,Admin.Cust_Details.SELF_EXCL_STARTED,Self-Exclusion Started
Admin Xlations,Admin.Cust_Details.SPORTS_BET_SUMM,Sports Bet summary
Admin Xlations,Admin.Cust_Details.SPORTS_BET_SUMM_VIEW,View
Admin Xlations,Admin.Cust_Details.SPORTS_STKE_STLD,Total Sports Staked (settled)
Admin Xlations,Admin.Cust_Details.SPORTS_STKE_UNSTLD,Total Sports Staked (unsettled)
Admin Xlations,Admin.Cust_Details.STATUS,Status
Admin Xlations,Admin.Cust_Details.TITLE,Title
Admin Xlations,Admin.Cust_Details.TOTALS_BUTTON,Totals
Admin Xlations,Admin.Cust_Details.TOTAL_POOLS_STKE,Total Pools Staked (unsettled)
Admin Xlations,Admin.Cust_Details.TOTAL_REFD,Total Refunds
Admin Xlations,Admin.Cust_Details.TOTAL_STKE,Total Staked
Admin Xlations,Admin.Cust_Details.TOTAL_WIN,Total Winnings
Admin Xlations,Admin.Cust_Details.TOTAL_XGAME_STKE_UNSTL,Total XGames Staked (unsettled)
Admin Xlations,Admin.Cust_Details.TXN_QUERY_BUTTON,Transaction Query
Admin Xlations,Admin.Cust_Details.UPDATE_CUST,Update Customer
Admin Xlations,Admin.Cust_Details.UPDATE_CUST_BUTTON,Update Customer
Admin Xlations,Admin.Cust_Details.USERNAME,Username
Admin Xlations,Admin.Cust_Details.VIEW_AUDIT_HIST,View Audit History
Admin Xlations,Admin.Cust_Details.VRF_CHECK_BUTTON,Verification Check
Admin Xlations,Admin.Cust_Details.XGAME_BET_SUMM,Lottery/XGames Bet summary
Admin Xlations,Admin.Cust_Details.XGAME_STKE_TOTAL_STLD,Total XGames Staked (settled)
Admin Xlations,Admin.Cust_List.ACCTNO,Acct No
Admin Xlations,Admin.Cust_List.ACCT_STATUS,Status
Admin Xlations,Admin.Cust_List.BALANCE,Balance
Admin Xlations,Admin.Cust_List.BETS,Acct No
Admin Xlations,Admin.Cust_List.MSF,Scale Factor
Admin Xlations,Admin.Cust_List.REG_DATE,Registration<br />Date
Admin Xlations,Admin.Cust_List.RESULTS,Customer Search Results
Admin Xlations,Admin.Cust_Search.ACCTNO,Account No
Admin Xlations,Admin.Cust_Search.ACCT_BAL,Account balance
Admin Xlations,Admin.Cust_Search.ACCT_STATUS,Account Status
Admin Xlations,Admin.Cust_Search.BET_COUNT,Bet Count
Admin Xlations,Admin.Cust_Search.BUTTON,Find Customers
Admin Xlations,Admin.Cust_Search.CRITERIA,Customer Search Criteria
Admin Xlations,Admin.Cust_Search.ELITE_CUST,Elite Customer
